//X Y Z R G B PointSourceId ScanDirectionFlag NumberOfReturns ReturnNumber GpsTime Intensity Classification Nx Ny Nz
15030.00000000 9910.00000000 -10.00000000 133 151 113 0.000000 0.000000 0.000000 0.000000 -60.708740 0.000000 71.000000 -0.527859 0.585198 0.615555
15030.00000000 9910.00000000 -10.00000000 133 151 113 0.000000 0.000000 0.000000 0.000000 -60.708740 0.000000 71.000000 -0.527859 0.585198 0.615555
15130.00000000 9840.00000000 30.00000000 133 151 113 0.000000 0.000000 0.000000 0.000000 -60.708740 0.000000 71.000000 -0.278182 0.605642 0.745528
15130.00000000 9830.00000000 10.00000000 133 151 113 0.000000 0.000000 0.000000 0.000000 -60.708740 0.000000 71.000000 -0.415620 0.393327 0.820094
15110.00000000 9840.00000000 30.00000000 133 151 113 0.000000 0.000000 0.000000 0.000000 -60.708740 0.000000 71.000000 0.664509 -0.286619 -0.690128
15100.00000000 9840.00000000 10.00000000 133 151 113 0.000000 0.000000 0.000000 0.000000 -60.708740 0.000000 71.000000 0.894263 -0.290152 -0.340742
15140.00000000 9780.00000000 40.00000000 133 151 113 0.000000 0.000000 0.000000 0.000000 -60.708740 0.000000 71.000000 0.657351 -0.344171 -0.670400
15120.00000000 9740.00000000 40.00000000 133 151 113 0.000000 0.000000 0.000000 0.000000 -60.708740 0.000000 71.000000 -0.496954 0.293156 0.816760
15110.00000000 9740.00000000 30.00000000 133 151 113 0.000000 0.000000 0.000000 0.000000 -60.708740 0.000000 71.000000 0.800334 -0.364080 -0.476351
15100.00000000 9740.00000000 -10.00000000 133 151 113 0.000000 0.000000 0.000000 0.000000 -60.708740 0.000000 71.000000 0.740729 -0.353271 -0.571420
15070.00000000 9740.00000000 10.00000000 133 151 113 0.000000 0.000000 0.000000 0.000000 -60.708740 0.000000 71.000000 0.599543 -0.579277 -0.552255
15030.00000000 9870.00000000 -10.00000000 133 151 113 0.000000 0.000000 0.000000 0.000000 -60.708740 0.000000 71.000000 -0.556584 0.275927 0.783632
15030.00000000 9830.00000000 0.00000000 133 151 113 0.000000 0.000000 0.000000 0.000000 -60.708740 0.000000 71.000000 -0.661858 0.195935 0.723570
15010.00000000 9870.00000000 -10.00000000 133 151 113 0.000000 0.000000 0.000000 0.000000 -60.708740 0.000000 71.000000 0.959780 -0.115589 -0.255855
15060.00000000 9740.00000000 70.00000000 133 151 113 0.000000 0.000000 0.000000 0.000000 -60.708740 0.000000 71.000000 0.631114 -0.271840 -0.726497
15030.00000000 9810.00000000 -10.00000000 133 151 113 0.000000 0.000000 0.000000 0.000000 -60.708740 0.000000 71.000000 0.871324 -0.034089 -0.489523
15060.00000000 9740.00000000 30.00000000 133 151 113 0.000000 0.000000 0.000000 0.000000 -60.708740 0.000000 71.000000 -0.708898 0.498730 0.498730
15580.00000000 9710.00000000 200.00000000 133 151 113 0.000000 0.000000 0.000000 0.000000 -60.708740 0.000000 71.000000 0.245979 -0.093039 0.964799
15610.00000000 9700.00000000 160.00000000 133 151 113 0.000000 0.000000 0.000000 0.000000 -60.708740 0.000000 71.000000 0.359246 0.149569 0.921179
15580.00000000 9660.00000000 180.00000000 133 151 113 0.000000 0.000000 0.000000 0.000000 -60.708740 0.000000 71.000000 0.129486 0.333937 0.933659
