//X Y Z R G B PointSourceId ScanDirectionFlag NumberOfReturns ReturnNumber GpsTime Intensity Classification Nx Ny Nz
4630.00000000 -11380.00000000 330.00000000 211 43 128 0.000000 0.000000 0.000000 0.000000 -60.708740 0.000000 74.000000 0.550435 0.210055 0.808021
4630.00000000 -11390.00000000 320.00000000 211 43 128 0.000000 0.000000 0.000000 0.000000 -60.708740 0.000000 74.000000 0.825262 -0.156131 0.542740
4650.00000000 -11380.00000000 320.00000000 211 43 128 0.000000 0.000000 0.000000 0.000000 -60.708740 0.000000 74.000000 0.450062 -0.177386 0.875202
4650.00000000 -11380.00000000 320.00000000 211 43 128 0.000000 0.000000 0.000000 0.000000 -60.708740 0.000000 74.000000 0.450062 -0.177386 0.875202
4630.00000000 -11380.00000000 320.00000000 211 43 128 0.000000 0.000000 0.000000 0.000000 -60.708740 0.000000 74.000000 0.352496 0.067331 0.933388
4660.00000000 -11430.00000000 320.00000000 211 43 128 0.000000 0.000000 0.000000 0.000000 -60.708740 0.000000 74.000000 0.586086 -0.552306 0.592842
4600.00000000 -11370.00000000 320.00000000 211 43 128 0.000000 0.000000 0.000000 0.000000 -60.708740 0.000000 74.000000 0.290376 -0.006126 0.956893
4600.00000000 -11380.00000000 320.00000000 211 43 128 0.000000 0.000000 0.000000 0.000000 -60.708740 0.000000 74.000000 0.355120 0.146226 0.923313
4580.00000000 -11390.00000000 330.00000000 211 43 128 0.000000 0.000000 0.000000 0.000000 -60.708740 0.000000 74.000000 0.493454 0.244421 0.834722
4600.00000000 -11420.00000000 360.00000000 211 43 128 0.000000 0.000000 0.000000 0.000000 -60.708740 0.000000 74.000000 0.545446 0.140426 0.826299
4620.00000000 -11420.00000000 330.00000000 211 43 128 0.000000 0.000000 0.000000 0.000000 -60.708740 0.000000 74.000000 0.520326 -0.201759 0.829791
4590.00000000 -11440.00000000 350.00000000 211 43 128 0.000000 0.000000 0.000000 0.000000 -60.708740 0.000000 74.000000 0.592636 -0.073183 0.802139
4620.00000000 -11410.00000000 330.00000000 211 43 128 0.000000 0.000000 0.000000 0.000000 -60.708740 0.000000 74.000000 0.420260 0.014401 0.907290
4610.00000000 -11430.00000000 340.00000000 211 43 128 0.000000 0.000000 0.000000 0.000000 -60.708740 0.000000 74.000000 0.871120 -0.303595 0.385978
4590.00000000 -11460.00000000 360.00000000 211 43 128 0.000000 0.000000 0.000000 0.000000 -60.708740 0.000000 74.000000 0.711699 -0.429674 0.555756
4590.00000000 -11450.00000000 350.00000000 211 43 128 0.000000 0.000000 0.000000 0.000000 -60.708740 0.000000 74.000000 0.575445 -0.327214 0.749529
4600.00000000 -11460.00000000 350.00000000 211 43 128 0.000000 0.000000 0.000000 0.000000 -60.708740 0.000000 74.000000 0.675380 -0.595335 0.435245
4610.00000000 -11460.00000000 330.00000000 211 43 128 0.000000 0.000000 0.000000 0.000000 -60.708740 0.000000 74.000000 0.505847 -0.300987 0.808409
4600.00000000 -11450.00000000 340.00000000 211 43 128 0.000000 0.000000 0.000000 0.000000 -60.708740 0.000000 74.000000 0.718364 -0.350223 0.601080
4610.00000000 -11460.00000000 320.00000000 211 43 128 0.000000 0.000000 0.000000 0.000000 -60.708740 0.000000 74.000000 0.641815 -0.500313 0.581171
4620.00000000 -11460.00000000 320.00000000 211 43 128 0.000000 0.000000 0.000000 0.000000 -60.708740 0.000000 74.000000 0.765843 -0.294555 0.571596
4590.00000000 -11470.00000000 330.00000000 211 43 128 0.000000 0.000000 0.000000 0.000000 -60.708740 0.000000 74.000000 0.464597 -0.409557 0.785120
4600.00000000 -11460.00000000 350.00000000 211 43 128 0.000000 0.000000 0.000000 0.000000 -60.708740 0.000000 74.000000 0.675380 -0.595335 0.435245
4600.00000000 -11470.00000000 320.00000000 211 43 128 0.000000 0.000000 0.000000 0.000000 -60.708740 0.000000 74.000000 -0.508908 0.699123 -0.502234
4570.00000000 -11410.00000000 370.00000000 211 43 128 0.000000 0.000000 0.000000 0.000000 -60.708740 0.000000 74.000000 0.476384 -0.070833 0.876380
4580.00000000 -11410.00000000 350.00000000 211 43 128 0.000000 0.000000 0.000000 0.000000 -60.708740 0.000000 74.000000 0.559169 -0.333568 0.758988
4570.00000000 -11420.00000000 330.00000000 211 43 128 0.000000 0.000000 0.000000 0.000000 -60.708740 0.000000 74.000000 0.875526 -0.250794 0.412984
4550.00000000 -11440.00000000 350.00000000 211 43 128 0.000000 0.000000 0.000000 0.000000 -60.708740 0.000000 74.000000 0.552628 -0.183200 0.813044
4560.00000000 -11460.00000000 370.00000000 211 43 128 0.000000 0.000000 0.000000 0.000000 -60.708740 0.000000 74.000000 0.363815 -0.512575 0.777756
4550.00000000 -11450.00000000 380.00000000 211 43 128 0.000000 0.000000 0.000000 0.000000 -60.708740 0.000000 74.000000 0.505388 -0.315273 0.803234
4550.00000000 -11450.00000000 380.00000000 211 43 128 0.000000 0.000000 0.000000 0.000000 -60.708740 0.000000 74.000000 0.505388 -0.315273 0.803234
4560.00000000 -11460.00000000 360.00000000 211 43 128 0.000000 0.000000 0.000000 0.000000 -60.708740 0.000000 74.000000 0.464846 -0.341098 0.817050
4580.00000000 -11470.00000000 360.00000000 211 43 128 0.000000 0.000000 0.000000 0.000000 -60.708740 0.000000 74.000000 0.733611 -0.580707 0.352979
4520.00000000 -11310.00000000 320.00000000 211 43 128 0.000000 0.000000 0.000000 0.000000 -60.708740 0.000000 74.000000 -0.092200 0.689308 0.718578
4410.00000000 -11430.00000000 490.00000000 211 43 128 0.000000 0.000000 0.000000 0.000000 -60.708740 0.000000 74.000000 0.541511 -0.023306 0.840370
4410.00000000 -11470.00000000 490.00000000 211 43 128 0.000000 0.000000 0.000000 0.000000 -60.708740 0.000000 74.000000 0.491919 0.065496 0.868174
4520.00000000 -11400.00000000 350.00000000 211 43 128 0.000000 0.000000 0.000000 0.000000 -60.708740 0.000000 74.000000 0.509560 0.238615 0.826687
4530.00000000 -11370.00000000 330.00000000 211 43 128 0.000000 0.000000 0.000000 0.000000 -60.708740 0.000000 74.000000 0.179827 0.551572 0.814513
4510.00000000 -11380.00000000 350.00000000 211 43 128 0.000000 0.000000 0.000000 0.000000 -60.708740 0.000000 74.000000 0.127766 0.547779 0.826809
4460.00000000 -11360.00000000 330.00000000 211 43 128 0.000000 0.000000 0.000000 0.000000 -60.708740 0.000000 74.000000 0.086055 0.704484 0.704484
