order	parent	diameter (m)	volume (L)	area (m^2)	length (m)	height (m)	angle (deg)	azimuth (deg)	zenith (deg)
0	0	0.0279	0.3074	0.0464	0.573	0	0	116.2	27.1
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
1	1	0.0118	0.0063	0.0022	0.058	0.094	45.5	35.4	115.5
1	1	0.0131	0.0565	0.0164	0.385	0.117	91.9	41.8	80.4
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
2	5	0.0139	0.0495	0.0143	0.329	0.141	90.6	-82.4	54.5
3	8	0.0209	0.0405	0.0077	0.117	0.067	84.2	68.6	89.5
0	0	0	0	0	0	0	0	0	0
2	5	0.0098	0.0116	0.0047	0.154	0.151	88.9	-68.9	144.2
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
1	1	0.0228	0.1843	0.0357	0.56	0.015	67.4	-148.7	63.6
