order	parent	diameter (m)	volume (L)	area (m^2)	length (m)	height (m)	angle (deg)	azimuth (deg)	zenith (deg)
0	0	0.0455	2.0029	0.1311	0.736	0	0	20.2	55.7
2	88	0.0335	0.3825	0.0498	0.523	0.212	25	13.2	87.2
2	88	0.0269	0.708	0.09	0.925	0.295	133.3	147.6	121
2	88	0.0273	0.7846	0.1162	1.399	0.39	61.6	90.3	117.9
2	88	0.0249	0.1592	0.026	0.34	0.433	111.3	-53.9	119.1
2	88	0.0302	1.6366	0.2276	2.569	0.451	77.5	118.2	67.4
2	88	0.0244	0.1109	0.0177	0.225	0.517	75.7	-39.1	124.8
3	3	0.0256	0.0807	0.0126	0.157	0.138	47.6	59.6	92.2
3	4	0.024	0.1086	0.0186	0.254	0.334	47.8	-32.8	99.3
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
3	6	0.0283	0.1719	0.0243	0.274	1.327	79	66.5	118.7
2	88	0.0212	0.1735	0.026	0.315	0.741	39.6	2.9	82.7
0	0	0	0	0	0	0	0	0	0
2	88	0.029	0.9776	0.13	1.379	0.729	87	9.1	143.8
2	88	0.0166	0.0272	0.0069	0.146	0.782	119.6	-81.5	47.9
3	4	0.0272	0.0652	0.0096	0.112	0.349	68.1	-105.2	61.1
3	13	0.0234	0.0518	0.0089	0.121	0.763	51.6	35.6	42.5
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
3	15	0.0277	0.4923	0.0772	0.979	0.569	162.1	22.1	77.3
0	0	0	0	0	0	0	0	0	0
2	88	0.0223	0.0977	0.0185	0.285	0.798	103.8	-80.8	94.5
3	4	0.0223	0.0362	0.0065	0.093	0.345	64.1	70.1	80
3	15	0.0298	0.0977	0.0143	0.169	0.622	94.3	-88.4	136.1
3	15	0.0331	0.2114	0.0256	0.246	0.558	25.5	-174.7	132.5
2	88	0.02	0.0267	0.0047	0.067	0.828	61	55.2	22.5
2	88	0.0314	0.0842	0.0129	0.163	0.822	95.3	-80.2	117
0	0	0	0	0	0	0	0	0	0
3	4	0.0223	0.0243	0.0043	0.059	0.33	42.7	-30.3	76.4
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
4	24	0.0279	0.0592	0.0085	0.097	0.369	114	160	118.8
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0.0294	0.0463	0.0063	0.068	0.584	0	-14.1	74.2
0	0	0	0	0	0	0	0	0	0
2	88	0.0267	0.4147	0.0608	0.715	0.85	118.9	-169.4	148.8
2	88	0.022	0.0888	0.0162	0.234	0.82	157.6	-135.8	89.8
2	88	0.0221	0.1806	0.0282	0.355	0.864	172.4	-146.5	96.6
4	93	0.0226	0.0434	0.0077	0.109	0.71	133.5	25.7	121.6
4	93	0.0255	0.0472	0.0074	0.092	0.713	52.6	63.4	124.8
0	0	0	0	0	0	0	0	0	0
3	4	0.0257	0.0708	0.011	0.136	0.395	161.2	-163.2	108.6
3	15	0.0291	0.2009	0.0329	0.436	0.472	155.6	55.3	44.7
4	21	0.0129	0.0101	0.0031	0.078	0.704	104.5	-108.9	47.6
3	45	0.0161	0.0301	0.0075	0.148	0.862	86.6	-143.7	126.5
0	0	0	0	0	0	0	0	0	0
3	4	0.0245	0.1092	0.0177	0.227	0.347	13.9	13.9	94.3
0	0	0	0	0	0	0	0	0	0
3	15	0.027	0.1763	0.0261	0.307	0.459	102.9	113	141.9
0	0	0	0	0	0	0	0	0	0
3	15	0.0181	0.0299	0.0066	0.116	0.476	81.4	-95.3	5.9
0	0	0	0	0	0	0	0	0	0
4	50	0.0198	0.0325	0.0066	0.106	0.49	140.1	-174.8	113.4
5	51	0.0417	0.1614	0.0155	0.118	0.721	96.9	-177.8	164
0	0	0	0	0	0	0	0	0	0
2	88	0.0209	0.0351	0.0067	0.103	0.888	55.3	-21.1	113.3
3	4	0.0184	0.0215	0.0047	0.081	0.377	52.5	23.2	41.9
0	0	0	0	0	0	0	0	0	0
3	15	0.02	0.0241	0.0048	0.077	0.44	156.4	54.5	74.4
0	0	0	0	0	0	0	0	0	0
3	43	0.0132	0.0105	0.004	0.13	0.733	80.1	150.6	13.1
3	4	0.0207	0.0472	0.0096	0.157	0.397	37.8	0.3	72.9
3	4	0.0269	0.0641	0.0096	0.113	0.376	60.9	1.1	28.2
0	0	0	0	0	0	0	0	0	0
2	88	0.0219	0.0412	0.0075	0.109	0.892	114.8	-79.1	88
0	0	0	0	0	0	0	0	0	0
2	88	0.0239	0.0492	0.0082	0.109	0.937	104.4	-174.8	24.2
4	69	0.025	0.0302	0.0048	0.062	0.416	61.6	-70.3	92.4
0	0	0	0	0	0	0	0	0	0
2	88	0.032	0.0873	0.0109	0.109	0.908	119	-80.8	81.8
2	88	0.0187	0.0439	0.0096	0.17	0.936	118.4	-77.2	94.9
0	0	0	0	0	0	0	0	0	0
3	74	0.0249	0.053	0.0085	0.109	0.949	121	-75.2	120
3	43	0.0236	0.0462	0.0078	0.105	0.748	126.8	64.3	19.8
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
4	80	0.0112	0.0061	0.0024	0.078	0.949	59.8	-154.2	98.3
3	43	0.0283	0.1063	0.015	0.169	0.748	80.6	-67.1	87.3
2	88	0.0179	0.0074	0.0021	0.049	0.934	95	-119.9	135.2
4	85	0.0144	0.0176	0.0049	0.108	0.747	69.2	-0.8	90.3
1	1	0.0432	6.9769	0.7092	5.829	0.077	35.2	51	77.2
3	4	0.0128	0.0203	0.0068	0.182	0.31	35.4	25.5	70.6
3	6	0.0282	0.1958	0.0274	0.305	1.417	12.9	168	33
0	0	0.0222	0.0249	0.0045	0.065	0.806	0	99.1	101.6
3	15	0.0283	0.1711	0.0276	0.359	0.632	118.3	12.5	138
3	43	0.0237	0.0954	0.0171	0.247	0.728	168.7	-158	85.8
0	0	0.025	0.0339	0.0054	0.069	0.384	0	48	98.5
4	21	0.0205	0.0235	0.0046	0.071	0.629	53.3	115.4	166.9
4	92	0.0267	0.113	0.0172	0.208	0.587	107.3	-84.2	164.8
4	50	0.0276	0.1911	0.03	0.38	0.482	112.7	164.2	95.2
4	56	0.0198	0.0336	0.0073	0.126	0.371	121.9	150.8	69.9
0	0	0	0	0	0	0	0	0	0
0	0	0.014	0.0097	0.0028	0.063	0.403	0	-2.6	41.4
