order	parent	diameter (m)	volume (L)	area (m^2)	length (m)	height (m)	angle (deg)	azimuth (deg)	zenith (deg)
0	0	0.0239	0.0813	0.0167	0.289	0	0	-107.8	58.3
1	1	0.0207	0.0827	0.0178	0.309	0.015	121.4	23.3	85.8
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
1	1	0.0201	0.0378	0.0075	0.119	0.082	79.3	138.9	114.7
0	0	0	0	0	0	0	0	0	0
1	1	0.0179	0.1193	0.0276	0.508	0.123	56.6	159.7	70
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
1	1	0.0215	0.0565	0.0105	0.155	0.164	54.5	-25	101.8
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
2	8	0.0168	0.0345	0.0083	0.157	0.205	150.5	144.8	86.3
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
2	2	0.0211	0.0288	0.0054	0.082	0.018	133.5	-169.5	86.6
0	0	0	0	0	0	0	0	0	0
2	8	0.0153	0.0253	0.0062	0.123	0.152	81.7	127.1	101.7
