date;plot;element;type;azimuth;distance;az_rad;x;y;detected;id_cluster_detected;detectable;id_cluster_detectable;stage_saproxylation;age;species;epiphytes;forks;notes;length_1;length_2;length_3;length_4;length_5;length_6;length_7;length_8;total_length;circ_1;circ_2;circ_3;circ_4;circ_5;circ_6;circ_7;circ_8;mean_circ;volume_1;volume_2;volume_3;volume_4;volume_5;volume_6;volume_7;volume_8;total_volume
05/06/2023;07_04;1;log;11;1,4;1,378810109;0,27;1,37;no;;yes;169;1;> 3 years;unidentified;> 80% moss;;;2,36;;;;;;;;2,36;25,5;;;;;;;;25,5;0,017843804;;;;;;;;0,017843804
05/06/2023;07_04;2;log;355;4,9;1,658062789;-0,43;4,88;yes;87;yes;"87; 145";3;> 3 years;Quercus spp.;> 80% moss;;;2,735;;;;;;;;2,735;39,5;;;;;;;;39,5;0,045367412;;;;;;;;0,045367412
05/06/2023;07_04;3;log;354;8,48;1,675516082;-0,89;8,43;yes;43;yes;"42; 43; 49";1;fresh;Corylus avellana;< 30% moss;;;6;;;;;;;;6;30,9;;;;;;;;30,9;0,041000794;;;;;;;;0,041000794
05/06/2023;07_04;4;log;1;15,25;1,553343034;0,27;15,25;yes;"63; 67; 69; 68";yes;"63; 67; 69; 68; 72";1;fresh;Carpinus betulus;< 30% moss;2;;2,07;4;0,65;5;6;;;;17,72;56,95;27;57,6;26,5;28;;;;39,21;0,050072672;0,025029754;0,016941058;0,025616625;0,03377691;;;;0,151437019
05/06/2023;07_04;5;log;359;12,7;1,588249619;-0,22;12,7;yes;"37; 77; 51; 52; 46; 48; 672; 632";yes;"37; 77; 51; 52; 53; 46; 47; 48; 39; 926; 672; 632";1;fresh;Carpinus betulus;;;;11;;;;;;;;11;31,5;;;;;;;;31,5;0,098056037;;;;;;;;0,098056037
05/06/2023;07_04;6;log;6;8,8;1,466076572;0,92;8,75;yes;611;yes;611;1;fresh;Corylus avellana;;;;1;;;;;;;;1;20,2;;;;;;;;20,2;0,003389138;;;;;;;;0,003389138
05/06/2023;07_04;7;log;0;9,12;1,570796327;0;9,12;yes;35;yes;"54; 35; 41";1;fresh;Corylus avellana;;;;5;;;;;;;;5;22,5;;;;;;;;22,5;0,020805212;;;;;;;;0,020805212
05/06/2023;07_04;8;log;15;10,63;1,308996939;2,75;10,27;no;;no;;6;> 3 years;unidentified;> 80% moss;;très dégradé;1,5;;;;;;;;1,5;52,65;;;;;;;;52,65;0,031042734;;;;;;;;0,031042734
05/06/2023;07_04;9;log;45;13,12;0,785398163;9,28;9,28;no;;yes;469;2;≤ 3 years;Corylus avellana;;;;3;;;;;;;;3;21,5;;;;;;;;21,5;0,010768423;;;;;;;;0,010768423
05/06/2023;07_04;10;log;75;13,92;0,261799388;13,45;3,6;no;;yes;470;2;≤ 3 years;Corylus avellana;;;;6;;;;;;;;6;23,4;;;;;;;;23,4;0,028647704;;;;;;;;0,028647704
