reference;total_length;mid_circ;volume
7-4_1;2,36;25,5;0,017843804
7-4_10;6;23,4;0,028647704
7-4_11;2,44;22,6;0,010447039
7-4_12;4,5;23,85;0,019857272
7-4_13;5,65;22,7;0,022163546
7-4_14;2,46;26,2;0,013058657
7-4_15;1,08;22,4;0,004650355
7-4_16;4;21,1;0,01571423
7-4_17;3;22;0,013081939
7-4_18;6;31,4;0,045347594
7-4_19_1;2,7;37,6;0,027624147
7-4_19_2;2;25,4;0,010337803
7-4_2;2,735;39,5;0,045367412
7-4_20;2,53;24,1;0,012354982
7-4_21;2;24;0,008968381
7-4_3;6;30,9;0,041000794
7-4_4_1;2,07;56,95;0,050072672
7-4_4_2;4;27;0,025029754
7-4_4_3;0,65;57,6;0,016941058
7-4_4_4;5;26,5;0,025616625
7-4_4_5;6;28;0,03377691
7-4_5;11;31,5;0,098056037
7-4_6;1;20,2;0,003389138
7-4_7;5;22,5;0,020805212
7-4_8;1,5;52,65;0,031042734
7-4_9;3;21,5;0,010768423
BM01_1;4;23,6;0,018905631
BM01_10;5;27,5;0,026601184
BM01_11;1;23,5;0,003689742
BM01_12_1;10,5;146,1;1,660044904
BM01_12_2;1,5;25,05;0,007615551
BM01_12_3;3,5;21,75;0,015565035
BM01_13;7;26,25;0,047026506
BM01_14;1,3;57,3;0,034454191
BM01_15;3,93;39;0,044915938
BM01_16;2,6;23;0,012170377
BM01_17;3,51;21;0,01375686
BM01_2;3;31,5;0,020074399
BM01_3;1,26;21,15;0,004881348
BM01_4;2,89;30,5;0,021200966
BM01_5_1;1,13;27;0,006780154
BM01_5_2;1,36;22,5;0,006112601
BM01_6;1,5;23,15;0,006026428
BM01_7_1;1,7;28,5;0,01221924
BM01_7_2;1,26;22,6;0,005074987
BM01_8;1,08;32,35;0,010508815
BM01_9;1,385;25,4;0,007327428
BM02_1;2;22,7;0,009382542
BM02_10;3,36;26,15;0,01867459
BM02_11;3;24;0,012334986
BM02_12;3;29,8;0,020070168
BM02_13;2,97;30,6;0,018793914
BM02_2;5,85;28,85;0,033486305
BM02_3;1,58;32,5;0,012183163
BM02_4;3;22,8;0,012003837
BM02_5;1,19;21,6;0,004173038
BM02_6;2,83;32;0,023241679
BM02_7;3,63;45,9;0,057949434
BM02_8;1,5;92,65;0,103935963
BM02_9_1;1,47;91,85;0,110675883
BM02_9_2;1,95;44,5;0,027614576
BM02_9_3;4,9;63,6;0,163927005
BM03_1;3,44;26,2;0,02287858
BM03_10_1;1,5;77,3;0,071922066
BM03_10_2;0,4;43,35;0,00606114
BM03_10_3;5;63,2;0,146202304
BM03_10_4;3,23;29,8;0,021809612
BM03_10_5;3,2;177,6;0,32993815
BM03_11;2,7;31,45;0,021560267
BM03_12;1,22;27,05;0,007628895
BM03_13;3,23;26,5;0,016908402
BM03_14;5,43;29,05;0,040958745
BM03_15;8,66;41,6;0,131639989
BM03_16;1,56;26,2;0,007854615
BM03_17;3,4;22,8;0,013949437
BM03_18;2,97;26,5;0,016643241
BM03_19;3;22;0,011460854
BM03_2;7;24,35;0,044091808
BM03_20_1;5,38;42,4;0,083055711
BM03_20_2;0,26;32,1;0,002137733
BM03_20_3;2;25,2;0,008340913
BM03_3;3,15;21,15;0,019318346
BM03_4_1;5,34;41,6;0,072416675
BM03_4_2;0,33;23;0,001420697
BM03_4_3;1;22,5;0,00383696
BM03_5;2;34,6;0,019436201
BM03_6;1,5;25,2;0,0068819
BM03_7;1,85;23,5;0,009839811
BM03_8;1,7;27,05;0,009838537
BM03_9;8,63;37,4;0,123114637
BM04_1;1,5;24,5;0,00738845
BM04_10;2,46;24,05;0,010894472
BM04_11_1;0,9;62,05;0,028247766
BM04_11_2;1;49,2;0,015602861
BM04_11_3;2;38;0,022347423
BM04_12_1;6;56,8;0,171309089
BM04_12_2;1,3;30,75;0,01095238
BM04_12_3;0,54;20,75;0,001851012
BM04_12_4;1,23;33;0,010798829
BM04_12_5;2,82;22,5;0,010951346
BM04_13;1,87;32,2;0,014296011
BM04_14;2,81;24;0,013345427
BM04_15_1;0,43;67,55;0,015842201
BM04_15_2;1,4;36,9;0,015489872
BM04_15_3;1,5;26,7;0,008983541
BM04_16;4,5;24,75;0,023834474
BM04_17_1;2;27;0,009413736
BM04_17_2;6,3;52,35;0,137525916
BM04_18;1,5;22,6;0,006468932
BM04_19;1;37,9;0,009162179
BM04_2;1,5;30,4;0,009169274
BM04_20;1,5;22,1;0,00568528
BM04_21;8,5;133,5;1,314806492
BM04_22;1,08;40,5;0,015000292
BM04_23;1,4;38,75;0,013020689
BM04_24;1,5;22,9;0,006201061
BM04_3;5,5;46,35;0,076717656
BM04_4_1;4,6;43,5;0,070597523
BM04_4_2;1,5;21,25;0,006100794
BM04_5;2,68;24,35;0,014654921
BM04_6_1;0,22;44;0,003412525
BM04_6_2;1;28,3;0,007203008
BM04_6_3;1,33;20,4;0,005501899
BM04_7;5;29,05;0,028586827
BM04_8;1,18;22,7;0,005088858
BM04_9;3,3;33,95;0,025837102
BM05_1;10;66,6;0,296240149
BM05_10;1,32;31,4;0,010005661
BM05_11;7,7;29,65;0,050836932
BM05_12;3,42;27,2;0,019101058
BM05_2;2,12;21,45;0,008402504
BM05_3;5;23,9;0,023371877
BM05_4;2,18;30,65;0,013989142
BM05_5;1;42,4;0,019929223
BM05_6;1,5;36,3;0,01807906
BM05_7;6;22,9;0,030734889
BM05_8;7;21,65;0,028620091
BM05_9;4;22;0,01558737
