reference;Xcentre;Ycentre;Zcentre;Xnorth;Ynorth;Znorth;Xpla;Ypla;Note
07_04;0,52;-0,22;-0,55;5,84;-0,21;-0,4;50.59789;004.78258;Bois de Grand-Leez
BM01;-0,59;-0,32;-0,52;-4,61;-3,16;-0,62;50.59978;004.78046;Bois de Grand-Leez
BM02;0,16;-0,72;-0,59;0,24;-5,76;-0,5;50.59795;004.78089;Bois de Grand-Leez
BM03;0,33;-0,41;-0,7;-0,66;-5,2;-0,59;50.59808;004.78167;Bois de Grand-Leez
BM04;0,63;-0,24;-0,72;1,96;-4,69;-0,54;50.59752;004.78205;Bois de Grand-Leez
BM05;-0,11;-0,63;-0,59;-0,56;-5,55;-0,62;50.59688;004.78229;Bois de Grand-Leez
BM06;-0,02;-0,49;-0,66;-0,11;-5,39;-0,66;50.59723;004.78321;Bois de Grand-Leez
BM07;-0,08;-0,62;-0,58;0,31;-5,66;-0,45;50.59751;004.78357;Bois de Grand-Leez
BM08;-0,01;-0,64;-0,73;0,34;-5,54;-0,78;50.59785;004.78405;Bois de Grand-Leez
BM09;-0,062;-0,819;-0,667;-0,419;-5,807;-0,737;50.59781;004.78531;Bois de Grand-Leez
BM10;;;;;;;50.53519;004.95859;Bois du Tronquoy
BM11;;;;;;;50.54319;005.04918;
