//X Y Z R G B PointSourceId ScanDirectionFlag NumberOfReturns ReturnNumber GpsTime Intensity Classification Nx Ny Nz
9.88000011 -3.70000005 0.54000002 84 213 107 0.000000 0.000000 0.000000 0.000000 -60.708740 0.000000 150.000000 0.811139 -0.249701 -0.528869
9.85000038 -3.68000007 0.56000000 84 213 107 0.000000 0.000000 0.000000 0.000000 -60.708740 0.000000 150.000000 0.849368 -0.523660 -0.065984
9.85000038 -3.68000007 0.55000001 84 213 107 0.000000 0.000000 0.000000 0.000000 -60.708740 0.000000 150.000000 0.970617 -0.238716 -0.030294
9.81999969 -3.67000008 0.55000001 84 213 107 0.000000 0.000000 0.000000 0.000000 -60.708740 0.000000 150.000000 0.855130 -0.163937 -0.491810
9.81999969 -3.68000007 0.50000000 84 213 107 0.000000 0.000000 0.000000 0.000000 -60.708740 0.000000 150.000000 0.779321 -0.612430 -0.132619
9.80000019 -3.70000005 0.50999999 84 213 107 0.000000 0.000000 0.000000 0.000000 -60.708740 0.000000 150.000000 0.914395 -0.049391 -0.401800
9.78999996 -3.70000005 0.49000001 84 213 107 0.000000 0.000000 0.000000 0.000000 -60.708740 0.000000 150.000000 0.924088 -0.382161 -0.003834
9.80000019 -3.70000005 0.51999998 84 213 107 0.000000 0.000000 0.000000 0.000000 -60.708740 0.000000 150.000000 0.960446 -0.054127 -0.273154
9.80000019 -3.69000006 0.51999998 84 213 107 0.000000 0.000000 0.000000 0.000000 -60.708740 0.000000 150.000000 0.880414 -0.094079 -0.464780
9.76000023 -3.67000008 0.50999999 84 213 107 0.000000 0.000000 0.000000 0.000000 -60.708740 0.000000 150.000000 0.971526 -0.050230 -0.231549
9.69999981 -3.67000008 0.58999997 84 213 107 0.000000 0.000000 0.000000 0.000000 -60.708740 0.000000 150.000000 0.994741 -0.056557 -0.085390
9.73999977 -3.65000010 0.44000000 84 213 107 0.000000 0.000000 0.000000 0.000000 -60.708740 0.000000 150.000000 0.896384 -0.231088 -0.378277
9.76000023 -3.72000003 0.44999999 84 213 107 0.000000 0.000000 0.000000 0.000000 -60.708740 0.000000 150.000000 0.882646 0.009319 -0.469946
9.73999977 -3.73000002 0.44999999 84 213 107 0.000000 0.000000 0.000000 0.000000 -60.708740 0.000000 150.000000 0.932455 0.106914 -0.345103
