//X Y Z R G B PointSourceId ScanDirectionFlag NumberOfReturns ReturnNumber GpsTime Intensity Classification Nx Ny Nz
-16.21999931 13.35999966 -0.80000001 199 78 117 97.000000 1.000000 4.000000 1.000000 0.000000 114.000000 37.000000 0.884344 0.414859 0.214073
-16.21999931 13.27000046 -0.79000002 199 78 117 97.000000 1.000000 4.000000 1.000000 0.000000 114.000000 37.000000 0.734219 -0.001383 0.678911
-16.20999908 13.26000023 -0.81999999 199 78 117 97.000000 1.000000 4.000000 1.000000 0.000000 114.000000 37.000000 0.920366 -0.254142 0.297217
-16.20999908 13.26000023 -0.81999999 199 78 117 97.000000 1.000000 4.000000 1.000000 0.000000 114.000000 37.000000 0.920366 -0.254142 0.297217
-16.20999908 13.27000046 -0.81999999 199 78 117 97.000000 1.000000 4.000000 1.000000 0.000000 114.000000 37.000000 0.934313 0.323363 0.149985
-16.26000023 13.35999966 -0.79000002 199 78 117 97.000000 1.000000 4.000000 1.000000 0.000000 114.000000 37.000000 0.944606 -0.167657 0.282155
-16.26000023 13.35000038 -0.79000002 199 78 117 97.000000 1.000000 4.000000 1.000000 0.000000 114.000000 37.000000 0.978602 -0.109830 0.174001
-16.26000023 13.35000038 -0.80000001 199 78 117 97.000000 1.000000 4.000000 1.000000 0.000000 114.000000 37.000000 0.970329 -0.152133 0.187929
-16.25000000 13.36999989 -0.81999999 199 78 117 97.000000 1.000000 4.000000 1.000000 0.000000 114.000000 37.000000 0.997440 0.060937 0.037417
-16.26000023 13.35000038 -0.80000001 199 78 117 97.000000 1.000000 4.000000 1.000000 0.000000 114.000000 37.000000 0.970329 -0.152133 0.187929
-16.22999954 13.31000042 -0.81000000 199 78 117 97.000000 1.000000 4.000000 1.000000 0.000000 114.000000 37.000000 0.949758 0.309787 0.044620
-16.22999954 13.31000042 -0.81000000 199 78 117 97.000000 1.000000 4.000000 1.000000 0.000000 114.000000 37.000000 0.949758 0.309787 0.044620
-16.22999954 13.31000042 -0.81000000 199 78 117 97.000000 1.000000 4.000000 1.000000 0.000000 114.000000 37.000000 0.949758 0.309787 0.044620
-16.30999947 13.31000042 -0.86000001 199 78 117 97.000000 1.000000 4.000000 1.000000 0.000000 114.000000 37.000000 0.975710 -0.219037 0.003514
-16.29999924 13.27999973 -0.88000000 199 78 117 97.000000 1.000000 4.000000 1.000000 0.000000 114.000000 37.000000 0.947017 0.319062 0.036864
-16.34000015 13.27000046 -0.87000000 199 78 117 97.000000 1.000000 4.000000 1.000000 0.000000 114.000000 37.000000 0.879985 0.440725 0.177168
-16.32999992 13.26000023 -0.86000001 199 78 117 97.000000 1.000000 4.000000 1.000000 0.000000 114.000000 37.000000 0.967994 -0.227688 0.105576
-16.51000023 13.31000042 -0.82999998 199 78 117 97.000000 1.000000 4.000000 1.000000 0.000000 114.000000 37.000000 0.393458 0.063114 0.917174
-16.51000023 13.31999969 -0.83999997 199 78 117 97.000000 1.000000 4.000000 1.000000 0.000000 114.000000 37.000000 0.311431 0.201514 0.928656
-16.48999977 13.26000023 -0.85000002 199 78 117 97.000000 1.000000 4.000000 1.000000 0.000000 114.000000 37.000000 0.225537 0.010627 0.974177
-16.53000069 13.31000042 -0.86000001 199 78 117 97.000000 1.000000 4.000000 1.000000 0.000000 114.000000 37.000000 0.182435 0.112936 0.976710
-16.30999947 13.31999969 -0.94999999 199 78 117 97.000000 1.000000 4.000000 1.000000 0.000000 114.000000 37.000000 0.972812 0.090929 -0.212997
-16.30999947 13.31999969 -0.94999999 199 78 117 97.000000 1.000000 4.000000 1.000000 0.000000 114.000000 37.000000 0.972812 0.090929 -0.212997
-16.29999924 13.31999969 -0.94999999 199 78 117 97.000000 1.000000 4.000000 1.000000 0.000000 114.000000 37.000000 0.975449 0.105892 0.193097
-16.30999947 13.27999973 -0.94999999 199 78 117 97.000000 1.000000 4.000000 1.000000 0.000000 114.000000 37.000000 0.987236 0.114960 -0.110220
-16.30999947 13.27999973 -0.93000001 199 78 117 97.000000 1.000000 4.000000 1.000000 0.000000 114.000000 37.000000 0.932527 -0.021806 -0.360440
-16.31999969 13.31000042 -0.93000001 199 78 117 97.000000 1.000000 4.000000 1.000000 0.000000 114.000000 37.000000 0.962404 0.030807 0.269868
-16.32999992 13.31000042 -0.94999999 199 78 117 97.000000 1.000000 4.000000 1.000000 0.000000 114.000000 37.000000 0.898059 0.358339 -0.255114
-16.34000015 13.27999973 -0.94000000 199 78 117 97.000000 1.000000 4.000000 1.000000 0.000000 114.000000 37.000000 0.954019 0.086965 0.286855
-16.34000015 13.27999973 -0.94999999 199 78 117 97.000000 1.000000 4.000000 1.000000 0.000000 114.000000 37.000000 0.988197 -0.044970 0.146442
-16.37000084 13.31000042 -0.92000002 199 78 117 97.000000 1.000000 4.000000 1.000000 0.000000 114.000000 37.000000 0.970851 -0.238813 -0.020401
-16.43000031 13.27999973 -0.95999998 199 78 117 97.000000 1.000000 4.000000 1.000000 0.000000 114.000000 37.000000 0.859518 0.486326 -0.157211
-16.47999954 13.27000046 -0.93000001 199 78 117 97.000000 1.000000 4.000000 1.000000 0.000000 114.000000 37.000000 0.897162 0.224658 0.380303
-16.47999954 13.27000046 -0.93000001 199 78 117 97.000000 1.000000 4.000000 1.000000 0.000000 114.000000 37.000000 0.897162 0.224658 0.380303
-16.51000023 13.26000023 -0.92000002 199 78 117 97.000000 1.000000 4.000000 1.000000 0.000000 114.000000 37.000000 0.940380 0.053180 0.335943
-16.18000031 13.18000031 -0.83999997 199 78 117 97.000000 1.000000 4.000000 1.000000 0.000000 114.000000 37.000000 0.796821 -0.264563 0.543216
-16.19000053 13.18000031 -0.82999998 199 78 117 97.000000 1.000000 4.000000 1.000000 0.000000 114.000000 37.000000 0.845735 -0.239244 0.476964
-16.20000076 13.19999981 -0.87000000 199 78 117 97.000000 1.000000 4.000000 1.000000 0.000000 114.000000 37.000000 0.971072 -0.238278 -0.015566
-16.20000076 13.18999958 -0.86000001 199 78 117 97.000000 1.000000 4.000000 1.000000 0.000000 114.000000 37.000000 0.950007 0.309039 -0.044512
-16.19000053 13.13000011 -0.86000001 199 78 117 97.000000 1.000000 4.000000 1.000000 0.000000 114.000000 37.000000 0.999568 0.029251 0.003026
-16.19000053 13.13000011 -0.86000001 199 78 117 97.000000 1.000000 4.000000 1.000000 0.000000 114.000000 37.000000 0.999568 0.029251 0.003026
-16.20999908 13.09000015 -0.86000001 199 78 117 97.000000 1.000000 4.000000 1.000000 0.000000 114.000000 37.000000 0.852162 -0.212663 0.478116
-16.20999908 13.10000038 -0.86000001 199 78 117 97.000000 1.000000 4.000000 1.000000 0.000000 114.000000 37.000000 0.860542 -0.266540 0.434079
-16.23999977 13.22999954 -0.82999998 199 78 117 97.000000 1.000000 4.000000 1.000000 0.000000 114.000000 37.000000 0.881557 0.385963 0.271826
